content,stopwords_removal,score,category
interface lbh mudah dan cepat namun fitur transaksi tarik dan setor atm tdk dipasang sprti saat di mobile banking,"['interface', 'lbh', 'mudah', 'cepat', 'fitur', 'transaksi', 'tarik', 'setor', 'atm', 'dipasang', 'sprti', 'mobile', 'banking']",3,neutral
maintenance diwaktu yang kurang tepat disaat ingin digunakan,"['maintenance', 'diwaktu', 'disaat']",3,neutral
aplikasi terbaru ini menurut aku bagus fiturnya banyak yang terbaru dan sangat gampang di aplikasi,"['aplikasi', 'terbaru', 'bagus', 'fiturnya', 'terbaru', 'gampang', 'aplikasi']",5,positive
lebih cepat lebih mudah,"['cepat', 'mudah']",5,positive
sangat simple dan mudah ketika transaksi menggunakan qris tidak perlu login dan cepat,"['simple', 'mudah', 'transaksi', 'qris', 'login', 'cepat']",5,positive
bikin aplikasi baru tapi gak lengkap tarik tunai tanpa kartu kok gak ada mau pakek bni mobile sudah gak bisa di akses juga tarik tunai tanpa kartu,"['bikin', 'aplikasi', 'gak', 'lengkap', 'tarik', 'tunai', 'kartu', 'gak', 'pakek', 'bni', 'mobile', 'gak', 'akses', 'tarik', 'tunai', 'kartu']",3,neutral
seharusnya lebih mudah yatapi karena harus update data pribadi jadi harus ke kantor bni sayang sekaliaku kira tu semudah daftar bank online gitu ternyata enggak,"['mudah', 'yatapi', 'update', 'data', 'pribadi', 'kantor', 'bni', 'sayang', 'sekaliaku', 'tu', 'semudah', 'daftar', 'bank', 'online', 'gitu']",3,neutral
saya sudah dapat kode otpsudah masukan data ktp sudah masukan no debit tapi dapat keterangankamu belum memenuhi kriteria untuk bisa pakai wondrmohon solusinya mksh,"['kode', 'otpsudah', 'masukan', 'data', 'ktp', 'masukan', 'no', 'debit', 'keterangankamu', 'memenuhi', 'kriteria', 'pakai', 'wondrmohon', 'solusinya', 'mksh']",3,neutral
tolongg dong untuk mutasi nya dbuat seperi bni mobile bangking jd jelas hitungan saldo nya terlihat ini mau cek mutasu harus pilih dlu blum lg biaya trf beda bank kadang tidak ada kalau kita ceklis semua,"['tolongg', 'mutasi', 'dbuat', 'seperi', 'bni', 'mobile', 'bangking', 'hitungan', 'saldo', 'cek', 'mutasu', 'pilih', 'dlu', 'blum', 'biaya', 'trf', 'beda', 'bank', 'kadang', 'ceklis']",3,neutral
ngerih mau teransaksi ato transfer gede takut gagal lagi biasanya kalo di aplikasi lain transfer gagal ato trasaksi gagal saldo nya tidak ke ambil tapi inimah saldo ngurangin ato ke ambil isi pula smartfreen juga ngga masuk tapi saldonya sudah ke ambil,"['ngerih', 'teransaksi', 'ato', 'transfer', 'gede', 'takut', 'gagal', 'kalo', 'aplikasi', 'transfer', 'gagal', 'ato', 'trasaksi', 'gagal', 'saldo', 'ambil', 'inimah', 'saldo', 'ngurangin', 'ato', 'ambil', 'isi', 'smartfreen', 'ngga', 'masuk', 'saldonya', 'ambil']",4,positive
transaksi belum berhasil tapi saldo terpotong transfer dari jam ditungguin sampe jam siang masih belum masuk saldonya ini gimna ya pihak wondr tolong bantu,"['transaksi', 'berhasil', 'saldo', 'terpotong', 'transfer', 'jam', 'ditungguin', 'sampe', 'jam', 'siang', 'masuk', 'saldonya', 'gimna', 'wondr', 'tolong', 'bantu']",2,negative
d hp sy sudah terinstal hanya saja tidak bisa untuk d pergunakan apknya d info terakhir setelah memsukkan data diri dll bagian terakhir harus k e bni cabang terdekat untuk update data diri sperti itu mohon solusinya,"['hp', 'terinstal', 'pergunakan', 'apknya', 'info', 'memsukkan', 'data', 'dll', 'e', 'bni', 'cabang', 'terdekat', 'update', 'data', 'sperti', 'mohon', 'solusinya']",2,negative
tolong ditingkatkan lagi untuk pelayan pembayaran air di bni mobile banking ada layanan server ke pdam kab madiun tapi kenapa di wondr tidak tersedia ya dibantu juga seperti save recent payment jadi biar tidak input berulang ulang untuk token listrik dan pembayaran air terimakasih,"['tolong', 'ditingkatkan', 'pelayan', 'pembayaran', 'air', 'bni', 'mobile', 'banking', 'layanan', 'server', 'pdam', 'kab', 'madiun', 'wondr', 'tersedia', 'dibantu', 'save', 'recent', 'payment', 'biar', 'input', 'berulang', 'ulang', 'token', 'listrik', 'pembayaran', 'air', 'terimakasih']",3,neutral
parah saya melakukan transanski pembelian pulsa listri lalu transaksi nya gagal dan parah nya saldo saya berkurang dan sudah hari belum kembali mau hubungi call center habisin pulsa banyak mengecewakan,"['parah', 'transanski', 'pembelian', 'pulsa', 'listri', 'transaksi', 'gagal', 'parah', 'saldo', 'berkurang', 'hubungi', 'call', 'center', 'habisin', 'pulsa', 'mengecewakan']",1,negative
ok bangetcepat sekali setiap proses transaksi,"['bangetcepat', 'proses', 'transaksi']",5,positive
lebih cepat mudah dan aman,"['cepat', 'mudah', 'aman']",4,positive
masih belum bisa tarik tunai tanpa kartu masih belum bisa menggantikan aplikasi mbanking bni terpaksa aja karena sudah nggk bisa buka mbanking nya,"['tarik', 'tunai', 'kartu', 'menggantikan', 'aplikasi', 'mbanking', 'bni', 'terpaksa', 'nggk', 'buka', 'mbanking']",3,neutral
kok aplikasi aq wonder na g bisa di buka klo pake wifi baru bisa di buka sangat menyulitkan sekali,"['aplikasi', 'aq', 'wonder', 'na', 'buka', 'pake', 'wifi', 'buka', 'menyulitkan']",3,neutral
