content,score,category
katanya super app tapi ga bisa tarik tunai tanpa kartu masih belum bisa gantiin bni mobile,1,negative
aplikasi wondr sangat bermanfaat dan mudah operasionalnya,5,positive
transaksi mudah dan cepat sangat membantu sekali,5,positive
hai aku pengguna baru dan excited banget ternyata ada ya aplikasi banking yang colorful kayak ginisangat menyenangkan gak monoton warnanya berasa nyaman aj dipandang walaupun saldo masih tipis dan yang paling aku suka ada fitur transfer luar negeri trus langsung nonggol negara tujuanmantap apknya gak lelet terimakasih ya semoga uang nyaman direkening ini,5,positive
ga bisa pake finger print,3,neutral
sering nge lag gimana ini lagi urgent mohon perfomanya di tingkatkan malah lebih bagus aplikaai yang bni mobile banking yang sebelumnya,3,neutral
deskripsi transaksi minim,3,neutral
interface lbh mudah dan cepat namun fitur transaksi tarik dan setor atm tdk dipasang sprti saat di mobile banking,3,neutral
maintenance diwaktu yang kurang tepat disaat ingin digunakan,3,neutral
aplikasi terbaru ini menurut aku bagus fiturnya banyak yang terbaru dan sangat gampang di aplikasi,5,positive
lebih cepat lebih mudah,5,positive
sangat simple dan mudah ketika transaksi menggunakan qris tidak perlu login dan cepat,5,positive
bikin aplikasi baru tapi gak lengkap tarik tunai tanpa kartu kok gak ada mau pakek bni mobile sudah gak bisa di akses juga tarik tunai tanpa kartu,3,neutral
seharusnya lebih mudah yatapi karena harus update data pribadi jadi harus ke kantor bni sayang sekaliaku kira tu semudah daftar bank online gitu ternyata enggak,3,neutral
saya sudah dapat kode otpsudah masukan data ktp sudah masukan no debit tapi dapat keterangankamu belum memenuhi kriteria untuk bisa pakai wondrmohon solusinya mksh,3,neutral
tolongg dong untuk mutasi nya dbuat seperi bni mobile bangking jd jelas hitungan saldo nya terlihat ini mau cek mutasu harus pilih dlu blum lg biaya trf beda bank kadang tidak ada kalau kita ceklis semua,3,neutral
ngerih mau teransaksi ato transfer gede takut gagal lagi biasanya kalo di aplikasi lain transfer gagal ato trasaksi gagal saldo nya tidak ke ambil tapi inimah saldo ngurangin ato ke ambil isi pula smartfreen juga ngga masuk tapi saldonya sudah ke ambil,4,positive
transaksi belum berhasil tapi saldo terpotong transfer dari jam ditungguin sampe jam siang masih belum masuk saldonya ini gimna ya pihak wondr tolong bantu,2,negative
d hp sy sudah terinstal hanya saja tidak bisa untuk d pergunakan apknya d info terakhir setelah memsukkan data diri dll bagian terakhir harus k e bni cabang terdekat untuk update data diri sperti itu mohon solusinya,2,negative
tolong ditingkatkan lagi untuk pelayan pembayaran air di bni mobile banking ada layanan server ke pdam kab madiun tapi kenapa di wondr tidak tersedia ya dibantu juga seperti save recent payment jadi biar tidak input berulang ulang untuk token listrik dan pembayaran air terimakasih,3,neutral
parah saya melakukan transanski pembelian pulsa listri lalu transaksi nya gagal dan parah nya saldo saya berkurang dan sudah hari belum kembali mau hubungi call center habisin pulsa banyak mengecewakan,1,negative
ok bangetcepat sekali setiap proses transaksi,5,positive
lebih cepat mudah dan aman,4,positive
masih belum bisa tarik tunai tanpa kartu masih belum bisa menggantikan aplikasi mbanking bni terpaksa aja karena sudah nggk bisa buka mbanking nya,3,neutral
kok aplikasi aq wonder na g bisa di buka klo pake wifi baru bisa di buka sangat menyulitkan sekali,3,neutral
terimakasih wondr apk yg terbaru cukup jelas rincian y banyak promo y juga tetap yg terbaik deh pokok y tetap jaya trs utk bank bni,5,positive
belum siap buat aplikasi masih sering bug masuk aja loading lama transaksi qris gagal terus katanya lebih simpel tapi justru beberapa fitur penting di bni mbanking malah dihilangkan seperti riwayat transaksi yang tidak bisa di download intinya masih lebih bagus dengan bni mobile banking yang sebelumnya banyak keluhan di wondr tapi tidak ada perbaikan ya pantas rating dibawah,1,negative
banyak prnya aplikasi ini saya sudah pakai bukan lebih banyak pr apalagi untuk info masuk uang atau keluar coba dirinci seperti bni mobile banking ini harus di klik dulu baru terlihat all lain masih banyak pr coba pengembangannya saya mengadu kesiapa kami nasabah mau ga mau suka ga suka ditelan ada error ga mau perbaiki kapan saya nasabah lama sudah pakai bni kurang loyal saya maaf tolong di perbaiki semua bug masalah dan lebih mendengarkan kami kebutuhan nasabah kami mohon,1,negative
perasaan sering bgt gangguan dah mending aplikasi yg lama update info feb tidak bisa topup ovo maupun gopaytulisannya saldo tidak cukup padahal sisa banyak,1,negative
sangat mudah dan membantu,5,positive
sebelum nya dah pk wondr bni terus ganti hp di hp yg sekarang jadi g bisa masuk lg selalu gagal ada keterangan anda belum masuk kreteria wondr gt dah brp x coba tetep gagal solusi nya,3,neutral
ayo lah buruan di perbarui uang ku dah di transfer hari kemarin di bank yg ngirim sudah berhasil tapi bni saya chek ngga masuk udah hari nungguin ga ada yg respon,1,negative
infonya ini pengganti aplikasi bni mobile banking ya mohon ditambah fitur tarik tunainya cardless detail mutasi tidak sedetail di aplikasi sebelumnya biar ga kebanyakan aplikasi mbanking jika sudah diperbarui fitur tersebut sy mampir kesini untuk lima bintangnya,3,neutral
lancar tdk pernah bermasalah,5,positive
upgrade bni keren nih ke satu apl ini bnran ngebantu apalagi sering bayar pake qris ga pengen banyak rekening juga jadi lebih mempermudah bgt deh ke semuamuanya,5,positive
lebih lengkap yg bni mobile banyak menu yg hilang terutama fitur debit online kecewa jadi gak bisa langganan layanan luar kemunduran sama aja kaya banking lain jadinya,1,negative
ukuran apk terlalu besar untuk smartphone menengah terlalu memakan penyimpanan,3,neutral
setiap kali mau transaksi sering banget error ga bisa masuk ke aplikasi,1,negative
ga tau cara save norek atau nambah norek tujuan,3,neutral
kenapa wonder ga kebuka sampai menu login padahal sebelumnya normal aja,1,negative
sangat mudah dan lancar,5,positive
jelek banget yg sekarangbagus yang lama masa mau buka aja ga bisa terus dari tadipemulihan app terus gmn bs d gunakan kalau seprti ini mau transaksi pun ga bisa di gunakan g berfungsi la jadi nya,1,negative
lebih muda dan aman,5,positive
ayolah kemaren mbanking bni skrg kena lagi saya di wonder jaringan saya aman aman aja pin juga aman aman aja kok malah ngeloading mulu mana pas lagi belanja bulanan auto kecewa berat,1,negative
mutasi rekening ga ada keterangan jam transfer nya mending aplikasi yg lama lebih detail mutasinya,3,neutral
semoga ttp bikin nyaman dan terpercaya,4,positive
maaf ya saya kasih bintang karna di status transaksi ga di kasih keterangan pengeluaran pembayaran untuk biaya admin perbulan jadi sebagai pengguna aplikasi tidak tahu jika uangnya sudah terpotong otomatis,2,negative
sejauh ini pemakaian nya baik ga lemot,5,positive
sangat membantu sekali,5,positive
sumpah parah emang bagus sih buat keamanan tapi kalau kayak gini mah ngeriibetin udah ngikutin verifikasi mukanya masih aja katanya verifikasinya tidak sesuai suruh nengok baru mau nengok udah berubah lagi perintahnya alhasil suruh dicoba besok lagi males mendingan pakai bni mobile banking langsung kaga ribetribet,1,negative
tambahin fitur untuk mengisimenarik saldo tanpa menggunakan kartu debit di atm dong terus di perbaiki lg fitur top up ewallet dana tidak semua nomor dapat diakses di wondr dan kalau bisa tambahin juga fitur penerimaan saldo dari negara jauh seperti eropa dan sebagainya,3,neutral
saat aktifasi tidak bisa deteksi wajah suruh kedip udh berkali tetep gagal,3,neutral
dengan adanya aplikasi wondr by bni membuat hidup jadi lebih mudah hidup jadi wondrful mau transaksi apapun jadi mudah dari perencanaan tabungan top up bayarbayar tagihan dsb jadi cepat dan gampang gak perlu keluar rumah semua urusan beres,5,positive
ini aplikasi nya prabayar atau gak ya saya kasih bintang dulukalau aplikasi nya gratis saya gak uninstall klw prabayar saya uninstall kok gak bisa buat ferivikasi wajah ya,2,negative
simple dan cepet,5,positive
lumayan tapi terkadang kalau jam malam susah narik,3,neutral
ada gangguan apalagi ini kok pengoptimalan dari pagi sampai sore gak kelar mana urgent lagi tolong di tingkatkan apk nya,4,positive
apk nya bagus sangat membantu mudah sekali di gunakan tapi yg aku anehin dan kesel bgt sampe bbrapa kali verivikasi ulang sampe bosen aku bermasalah sama pin wondr nya udah di ganti bbrapa kali tidak bisa di gunakan udah di verifikasi lagi keluar sendiri login lagi pas masukin password eh gak sesuai password nya harus verifikasi kali kan nyebelin masalah nya udah bbrapa kali aku verifikasi berhasil verifikasi tapi hasilnya tetap aja tidak bisa di pake transaksi,3,neutral
maaf kasih bintang dulu saya nelpon ke bni call dari pagi sampai malam operator sibuk terus saya tunggu lebih dari menit berkali telepon sampai habis banyak pulsa tidak ada hasil,2,negative
aplikasinya mudah dan bagus,5,positive
duh parah ni aplikasi makin lelet kaya pentium dan ngak bisa masuk kenapa ya parah dah ngak kaya aplikasi lvn sebelah wush wush ngak pernah error ini apaan mau masuk login berulang ulang ngak masuk masuk klo ngak ada perbaikan mending kabur dah setia sama yg sebelah enak banget saya edit terima kasih sudah direspon bintangnya nambah,3,neutral
apk jelek sekali salah langsung lanjut besok apalah bintanng,1,negative
bagus tapi agak kurang nyaman di bagian top up tidak seperti aplikasi bni yang dulu di wondr ada limit untuk top up shopeepay jthari jadi tidak efisien jika mau top up lebih dari jt jika dibutuhkan segera,2,negative
aku top up gopay lewat wondr by bni saldo di wondr berkurang tapi di gopay gk nambah kira kenapa ya aku udah cek di transaksk wondr berkurang saldonya,4,positive
performa sangat baik tampilanya keren dan sangat memudahkan dalam bertransaksi,5,positive
mohon untuk tidak terlalu lama dalam perbaikan aplikasinya jadi sangat menghambat aktifitas transaksi penggunanyamohon tanggapanya masak seharian g bisa di pakai terima kasih mohon maaf atas masukan saya bila kurang berkenan,2,negative
jelek banget mau bayar pake qris saldo dibilang kaga cukup mulu,1,negative
gampang error gak bisa masuk lagi butuh malah perbaikan aplikasi belum sempurna gak kaya yang sebelah selalu lancar jaya,1,negative
kesulurahan baik tapi gaada fitur tarik dan setor tunai tanpa kartu tolong dong min diupdate dulu pas masih jadi mobile banking masih bisa loh tarik tunai sekarang engga huhuu,4,positive
fiturfitur nya sama dengan aplikasi m banking bni sebelumnya hanya beda posisipenempatan jujur aku ga paham sama bni kenapa menggunakan aplikasi dgn isi yg sama,3,neutral
jujur ini aplikasi yang di paksa paksa download kalo lagi ke bank tapi faktanya fiturnya nggak lengkap kaya aplikasi sebelumnya keterangan riwayat mutasi nya kurang lengkap saldo terakhir tidak ada tertera di mutasi tidak seperti aplikasi sebelumnya yang ada mutasi keterangan sisa saldo terakhir berapa tolong di benahi lagi jika memang ini aplikasi yang di paksa paksa di unduh,1,negative
terlalu banyak bug dan perbaikan mendadak akibatnya macet dan terganggu dalam bertransaksi,1,negative
ruwet banyak menguras penyimpanan lebih simpel dan efisien pake aplikasi sebelumnya,1,negative
sangat menyenakan gampang bertransaksi juga,5,positive
ini aplikasi apaan tiap kali masuk harus verifikasi data lagi poto ktp dll udah gitu vermuk nya susah banget pindah aja ke mobile banking lain,1,negative
mau login saja susah hanya kirim kode otp saja lama sekali sampai pencet kirim kode selama x dan setelah masuk kode otp nya malah kode otp yg pertama hasilnya ketika aku input kan error karna tidak sesuai,2,negative
aplikasi ini lebih baik dari mobile banking wondr lebih simpel dan lebih bagus aktivasi juga sangat mudah buat pembayaran qris cepat dan mudah,5,positive
bank dengan fitur pling ribet transaksi va sering error tulisannya transaksi berhasil tpi saldo masih utuh alias belum kebayar tarik tunai tnpa kartu harus pke otp dimana sering bngt kode gk muncul muncul payah bngt,1,negative
kenapa cc saya gk muncul di aplikasi wondr sudahcoba bolak balik cek aplikasi ttp aja gk muncul di aplikasi,3,neutral
aplikasi terbaru yang sangat mendukung dalam bertransaksi penggunaan qris pun lebih cepat mendeteksinya dibandingkan aplikasi perbankan lain mudah digunakan dengan fitur yang menarik,5,positive
transaksi lebih mudah dan aktivasinya tidak ribet tampilan lebih berwarna,5,positive
bagus skali ini apk wondrs,5,positive
aplikasiinya bagus cuma kenapa aplikasinya susah dibuka lama masuknya padahal wifenya saya bagus sudah menit menunggu aplikasinya gak bisa dibuka baru mingguan saya daftar aplikasi ini gimana ini,3,neutral
selamat sore bni saya ada transaksi penarikan tunai k di atm tapi transaksinya tidak bisa diprses sedangkan saldo saya terpotong terus rbmohon kejelasan bagimana ini bisa terjadi dan bagaimana saldo saya bisa kembali ke rekening saya kembali,3,neutral
memudahkan untuk bertran saksi dan melihat sisa pinjaman,3,neutral
fitur kurang lengkap salah satunya nggk ada fitur tarik tunai tanpa kartu klo dadakan nggk bawa atm jdi ribet overall bagus lah ada peningkatan dri bni mobile cmn bni mobile ada fitur tarik tunai tanpa kartu,4,positive
tampilannya simple dan bagus fitur fiturnya juga sangat relevan dan sesuai dengan kebutuhan sehari hari wondr ini lebih mudah untuk digunakan dan banyak diskonnya juga pake apk ini,5,positive
banyak ganguan worder ya kacau bni tiap ada penting mau tf selalu ga kebuka ini saya ada poto ya tolong d perbaiki lagi tiap jam c wonder ganguan mulu,3,neutral
saya heran ada apa dengan wonder saya saya biasanya bisa transfer sampai saldo habis kemudian sekarang tidak bisa selalu muncul kata mencapai limit pertanyaan saya dari kapan ada limit di wonder karena saya baru beberapa jam yg lalu habisin saldo kemudian baru muncul limit saldo,3,neutral
kecewa saya pakai aplikasi dari bni kemarin pakai bni mobile selalu maintenance sekarang pakai wondr begitu jugadibilangnya fitur lagi tidak tersedia perbaikan sistem tapi seharian,1,negative
wondr aplikasi yg sangat menyenangkan,5,positive
sangat sangat membantu sekali,5,positive
keren tampilannya kece dan user friendly,5,positive
sangat buruk gak aplikasi yg baru yg lama sma aja dikit ganguan trus,3,neutral
aplikasi sangat susah diakses,1,negative
gajelas sesi berakhir login ulang dah berkalikali coba kayak gitu mulu,1,negative
beralihndr bni mobile bukannya makin bagus malah makin sering ngebug bumn ni bikin apa ga bisa maksimal tolong tingkatkan maintenace,3,neutral
lumayan fitur nya saran saya sih kalau udah login terus keluar dari aplikasi malah suruh login lagi mending langsung masuk aja mohon dimengerti,4,positive
aplikasi jelek duet gue ilang transaksi qris ga balik payah bug banyak setiap malam jam wonder selalu gagal transaksi kalo belum siap ga usah ngeluncurin aplikasi pak gak nyaman jd nasabah bni sumpah aplikasi sampah ko dibuat kalah sama bank bribca mandiri g pernh gangguan tiap malem,1,negative
kenapa beberapa hari ini aplikasinya ga bisa dibuka mau dipakai untuk pembayaran pun susah ada pembaruan lagi apa gimana,4,positive
mohon maaf aplikasinya kurang banget setelah daftar malah gabisa kebuka lg terus respon call center saat minta info pendaftaran kelamaan nunggu jd pulsa nya abis duluan lumayan saya kali nelpon ga dapet hasil,1,negative
sering error mana berat juga gak ada kalimat laporan transaksi dari pengirim gak ada fitur terima dana di qrisnya kaya bni mobile banking,3,neutral
simpel dan cepat,5,positive
ketika verifikasi melalui video call video tidak lancar padahal koneksi internet stabil,3,neutral
mantaplancar cepat dan tanpa lag,5,positive
trimakasih sangat puas,5,positive
ini serius bni kaya gini transaksi gagal duit ga di reff buset gimana ceritanya tertera tim kami lagi memperbaiki gini gini mohon coba lagi nanti lah terus saya trf kali gitu bujed dahh seharusnya di reff dulu laa kck baru nunggu beberapa menit trf lagi ini appan kaga di reff lucu bener dah hdehh bank lain aja kalo udah bermasalah di reff ini apa jir gandi reff kck,3,neutral
sangat baik slalu di permudah dalam segala hal terima kasih bni,5,positive
ada yang sama gak dari kemarin sampai hari ini kok aplikasinya ga bisa kebuka,1,negative
mudah di gunakan dan sangat membantu memperlancar transaksi keuangan,5,positive
saya beri bintang dulukalo bisa di gunakan saya tambahsoalnya udah donlot ga bisa di gunakan terus padahal persyaratan udah saya penuhigagal lagi gagal lagi entah apa yg salah ini saya coba lagi donlot,3,neutral
aplikasi bank yang paling buruk sering error sering minta verifikasi wajah namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan harus diulang keesokan harinya tampilan menu didalamnya ribet dan rumit pengalaman paling buruk menggunakan aplikasi bank bni ini,1,negative
kok no rekening tabungan saya gak ada di aplikasi wondrbelum punya rekening tabungan katanya,4,positive
mudah praktis cepat aman,5,positive
sangat mudah digunakan untuk bertransaksi,5,positive
aku masih dalam tahap penyesuaian dalam menggunakan apkikasi ini sejauh ini aku masih oke sih tapi dalam beberapa fitur yang memang belum sepenuhnya bisa di akses aku sabar menunggu kok,5,positive
wonder bni loading masuk nya lama bangeut lemot,1,negative
mohon untuk di perbaiki lagi sistemnyamau login aja lama bangetgiliran bisa login fiturnya gak kebuka,3,neutral
lebih mudah bertransaksi,5,positive
mudah dan praktis,5,positive
user interface sudah lebih baik dati bni mobile banking tapi fiturnya kurang lengkap masih lebih lengkap bni mobile banking belum bisa ajukan tukar kartu di sini masih harus di bni mobile banking,3,neutral
cuma kurang fitur mobile tunai aja agar bisa cardless dan untuk transaksi virtual akun masa max transaksi rp klo gitu apa yang mau dikirim ditunggu updatenya ya,4,positive
sumpah bikin kesel tibatiba password gak bisa masuk dan harus bikin password baru dan saat verifikasi wajah berkalikali gak bisa bisa asli kesel sumpah,3,neutral
looks so refreshing lebih mudah aktivasi dan cepat transaksi nya juga simple dan mudahditunggu kelengkapan fiturnya ya biar tambah oke,5,positive
katanya bisa buka kartu terblokir ternyata malah ngaco,3,neutral
mantap dan fitur ya lengkap,5,positive
pendaftaran nya gampang dan cepat aplikasi nya juga bagus mudah di gunakan,5,positive
banyak ganguan worder ya kacau bni tiap ada penting mau tf selalu ga kebuka ini saya ada poto ya tolong d perbaiki lagi tiap jam c wonder ganguan mulu,3,neutral
mau bikin akun tidak bisa terus di bagian verifikasi wajah hanya ada tulisan coba lagi besok padahal sudah menunggu hari ini bagaimana ya,3,neutral
susah login kalau saya aktifkan sidik jari saya tidak bisa memasukkan password atau pin untuk login sedangkan terkadang sidik jari bisa tidak aktif karena tangan basah atau hal lainnya hingga akhirnya saya lupa kepada password saya dan harus repot repot menyediakan ktp untuk verifikasi saran saya gunakan metode login seperti sebelumnya bisa menggunakan biometrik dan juga bisa menggunakan passwordpin,3,neutral
sering gangguan n macet padahal uda paket data telkomsel n dalam kota kok g jelas pasword uda bener tp msh salah n buat pasword lg malah g bisa bikin susah nasabah enak pake yg lama g pernah ada kendala,1,negative
