content,stemmed,score,category
sangat membantu dalam bertransaksi fiturnya modern dan mudah dimengerti pokoknya aplikasi nya keren deh,"['bantu', 'transaksi', 'fiturnya', 'modern', 'mudah', 'erti', 'pokok', 'aplikasi', 'keren']",5,positive
masih sama kayak mbankingnya otp gak masuk ke no gak tau ke no lain padahal ngarepnya sistem otp bisa lebih baik di app ini biar bisa tarik tunai tanpa kartu,"['kayak', 'mbankingnya', 'otp', 'gak', 'masuk', 'no', 'gak', 'tau', 'no', 'ngarepnya', 'sistem', 'otp', 'app', 'biar', 'tarik', 'tunai', 'kartu']",3,neutral
kenapa transaksi transfer cuma bisa jt perharibikin ribettolong perbaiki,"['transaksi', 'transfer', 'jt', 'perharibikin', 'ribettolong', 'baik']",1,negative
kenapa stuck logo terus padahal jaringan saya bagus tolong dong diperbaiki hanya itu saja keluhan saya,"['stuck', 'logo', 'jaring', 'bagus', 'tolong', 'baik', 'keluh']",2,negative
mudah cepat ui menarik,"['mudah', 'cepat', 'ui', 'tarik']",5,positive
loading lama mau masuk aja tergantung koneksi,"['loading', 'masuk', 'gantung', 'koneksi']",2,negative
bintang tolong perbaiki kenapa susah sekali loginjaringan bagus tapi susah masuk gambar saja yang muncullelet sekalitolong perbaiki supaya ringan login dan gak leletsupaya puas semua pengguna bni wondrterima kasih,"['bintang', 'tolong', 'baik', 'susah', 'loginjaringan', 'bagus', 'susah', 'masuk', 'gambar', 'muncullelet', 'sekalitolong', 'baik', 'ringan', 'login', 'gak', 'leletsupaya', 'puas', 'guna', 'bni', 'wondrterima', 'kasih']",5,positive
kembalikan fitur history transaksi seperti yg dulu bos,"['kembali', 'fitur', 'history', 'transaksi', 'bos']",3,neutral
aku kasih bintang aja dulu soalnya perbaikan sistemnya lama jdi saya mau menggunakan pun harus nunggu lama tolong pihak aplikasinya perbaiki sistemnya jangan terlalu lama,"['kasih', 'bintang', 'baik', 'sistem', 'nunggu', 'tolong', 'aplikasi', 'baik', 'sistem']",3,neutral
tidak ada fitur fx mobile tidak bisa lihat kurs dan tukar dollar spt d app bni lama app bni lama sptnya lbh lengkap,"['fitur', 'fx', 'mobile', 'lihat', 'kurs', 'tukar', 'dollar', 'app', 'bni', 'app', 'bni', 'sptnya', 'lbh', 'lengkap']",3,neutral
kok aplikasi aq wonder na g bisa di buka klo pake wifi baru bisa di buka sangat menyulitkan sekali,"['aplikasi', 'aq', 'wonder', 'na', 'buka', 'pake', 'wifi', 'buka', 'sulit']",3,neutral
aplikasinya sangat membantu mudah digunakan dan banyak promonya jadi praktis dan mudah saat bertransaksi,"['aplikasi', 'bantu', 'mudah', 'promonya', 'praktis', 'mudah', 'transaksi']",5,positive
aplikasi lemot sekali buat pembayaran qris gagal sampai x padahal internet lancar dan saldo pun isi,"['aplikasi', 'lot', 'bayar', 'qris', 'gagal', 'x', 'internet', 'lancar', 'saldo', 'isi']",1,negative
saat verifikasi wajah terjadi error dimana saya telah mengedipkan mata tetapi masih belum terdeteksi meskipun sudah berulang kali juga,"['verifikasi', 'wajah', 'error', 'mana', 'kedip', 'mata', 'deteksi', 'ulang', 'kali']",3,neutral
berapa hari ini apk hanya stack di logo depan pada ponsel saya apk pun sangat lelet,"['apk', 'stack', 'logo', 'ponsel', 'apk', 'lelet']",1,negative
aplikasi menunya kurang lengkap kaya untuk rekening pinjaman tidak ada harusnya di adakan buat nasabah ngecek sisa pokok pinjamannya,"['aplikasi', 'menu', 'lengkap', 'kaya', 'rekening', 'pinjam', 'adakan', 'nasabah', 'ngecek', 'sisa', 'pokok', 'pinjam']",3,neutral
sangat pantas di beri bintang sangat mudah di pahamidan paling penting aplikasinya juga tidak berattransaksi jadi lebih mudah,"['bintang', 'mudah', 'pahamidan', 'aplikasi', 'berattransaksi', 'mudah']",5,positive
baik dan mudah,['mudah'],3,neutral
katanya kalau mau dpt saldo gopayovo rb harus dapat tranferan dari bank lain jt sama top up gopay rbtranfernya uda masuk ehh giliran mau top up ewallet gak bisaaplikasi ini hanya akalan semata gak mau rugi,"['dpt', 'saldo', 'gopayovo', 'rb', 'tranferan', 'bank', 'jt', 'top', 'up', 'gopay', 'rbtranfernya', 'uda', 'masuk', 'ehh', 'gilir', 'top', 'up', 'ewallet', 'gak', 'bisaaplikasi', 'akal', 'gak', 'rugi']",2,negative
nayamul loginnya gak semudah aplikasi sebelumnya,"['nayamul', 'loginnya', 'gak', 'mudah', 'aplikasi']",3,neutral
maaf min ini mutasi rekeningnya kok per bulan saja tidak bisa reques per tanggal seperti mobile banking versi lama,"['maaf', 'min', 'mutasi', 'rekening', 'reques', 'tanggal', 'mobile', 'banking', 'versi']",5,positive
nyaman pake aplikasi ini tp belum ada menu setor tunai tanpa kartu,"['nyaman', 'pake', 'aplikasi', 'menu', 'setor', 'tunai', 'kartu']",5,positive
mahal biaya tf ke bca tidak nyaman,"['mahal', 'biaya', 'tf', 'bca', 'nyaman']",1,negative
ngk jelas aplikasi nya lebih baik aplikasi pertama internet kencang wifi kencang kok ngk bisa berjalan aplikasi nya mau login susah,"['ngk', 'aplikasi', 'aplikasi', 'internet', 'kencang', 'wifi', 'kencang', 'ngk', 'jalan', 'aplikasi', 'login', 'susah']",1,negative
memudahkan untuk bertran saksi dan melihat sisa pinjaman,"['mudah', 'bertran', 'saksi', 'sisa', 'pinjam']",3,neutral
keren banget aplikasinya bener membantu buat transaksi dan ga ribet pas mindahin data dr bni mobile ke wondr goodjob bni,"['keren', 'banget', 'aplikasi', 'bener', 'bantu', 'transaksi', 'ribet', 'mindahin', 'data', 'bni', 'mobile', 'wondr', 'goodjob', 'bni']",5,positive
aplikasinya susah untuk di buka lebih mudah aplikasi yg sebelumnya,"['aplikasi', 'susah', 'buka', 'mudah', 'aplikasi']",1,negative
aplikasi perbankan yang sangat membantu untuk segala transaksi sangat gampang dan mudah digunakan semoga tampilan nya lebih bagus lagi nantinya,"['aplikasi', 'perban', 'bantu', 'transaksi', 'gampang', 'mudah', 'moga', 'tampil', 'bagus']",5,positive
keren aplikasi bni nya jadi tidak repot buat ngurusin pin yg ke blok,"['keren', 'aplikasi', 'bni', 'repot', 'ngurusin', 'pin', 'blok']",5,positive
aplikasi ccd verif wajah gagal terus padahal sudah di tempat terang dan sesuai arahan entah gagal pas ngambil gambar atau tulisannya koneksi terputus padahal sinyal aman,"['aplikasi', 'ccd', 'verif', 'wajah', 'gagal', 'terang', 'sesuai', 'arah', 'gagal', 'ngambil', 'gambar', 'tulis', 'koneksi', 'putus', 'sinyal', 'aman']",1,negative
siapi menu setor dan tarik tunai,"['siap', 'menu', 'setor', 'tarik', 'tunai']",2,negative
simpel dan cepat pd saat transaksi yg lebih bagusnya lg pin kartu debit terblokir tdk khwatir lg so sdh bisa buat pin baru tanpa harus ke bank bni,"['simpel', 'cepat', 'pd', 'transaksi', 'bagus', 'pin', 'kartu', 'debit', 'blokir', 'khwatir', 'so', 'sdh', 'pin', 'bank', 'bni']",5,positive
fitur nya kurang lengkap masih kalah jauh dari bni mobile banking,"['fitur', 'lengkap', 'kalah', 'bni', 'mobile', 'banking']",3,neutral
aplikasinya sudah bagus ringan lagi tapi tolong dong notifikasi uang masukkeluar di bawah ribu juga di aktifkan notifikasinya agar pengguna mudah tau tanpa buka aplikasi terimakasih,"['aplikasi', 'bagus', 'ringan', 'tolong', 'notifikasi', 'uang', 'masukkeluar', 'ribu', 'aktif', 'notifikasi', 'guna', 'mudah', 'tau', 'buka', 'aplikasi', 'terimakasih']",5,positive
pingin install aplikasi wonder tapi bintangnya rendah sekali n byk customer complain jadi ragu padahal mobile banking yg sudah ada skrg bagus sekali n so far belum ada masalah apapun terus kenapa harus install aplikasi ini yg byk masalah apakah jg sudah install aplikasi ini mobile banking masih bisa digunakan,"['pingin', 'install', 'aplikasi', 'wonder', 'bintang', 'rendah', 'byk', 'customer', 'complain', 'ragu', 'mobile', 'banking', 'skrg', 'bagus', 'so', 'far', 'apa', 'install', 'aplikasi', 'byk', 'install', 'aplikasi', 'mobile', 'banking']",3,neutral
mantap dan mudah mengaplikasikannya,"['mantap', 'mudah', 'aplikasi']",5,positive
belum bisa tarik dan setor tunai aplikasi downgrade belum lengkap udah launching gimana sih,"['tarik', 'setor', 'tunai', 'aplikasi', 'downgrade', 'lengkap', 'udah', 'launching', 'gimana', 'sih']",1,negative
memudahkan untuk transaksi aplikasi mudah di gunakan,"['mudah', 'transaksi', 'aplikasi', 'mudah']",5,positive
sangat mudah d pakai,"['mudah', 'pakai']",5,positive
aplikasi wondr by bni sangat mudah digunakansimple dan sangat membantu untuk melakukan pembayaran apapun bahkan sampai keluar negeri,"['aplikasi', 'wondr', 'by', 'bni', 'mudah', 'digunakansimple', 'bantu', 'bayar', 'apa', 'negeri']",5,positive
luar biasa dan super cepat sukses bni terdepan terus dalam pelayanan serta tetap mengedepankan terus service excellent terhadap masyarakat indonesia,"['super', 'cepat', 'sukses', 'bni', 'depan', 'layan', 'depan', 'service', 'excellent', 'masyarakat', 'indonesia']",5,positive
kurangnya tidak ada fitur stor tunai,"['kurang', 'fitur', 'stor', 'tunai']",3,neutral
kemaren saya transfer melalui qris gagal kali tapi saldo saya tetap berkurang udah saya hubungi melalui email udah mengikuti cara nya tetep aja saldo saya tidak dikembalikan saya kecewa mbanking nya juga sering banget ada gangguan,"['kemaren', 'transfer', 'qris', 'gagal', 'kali', 'saldo', 'kurang', 'udah', 'hubung', 'email', 'udah', 'ikut', 'tetep', 'saldo', 'kembali', 'kecewa', 'mbanking', 'banget', 'ganggu']",1,negative
wondr kenapa kenapa saat saya mau bayar utbk tidak bisa di pakai udah di coba beberapa kali tetap saja tidak mohon untuk segera di perbaiki,"['wondr', 'bayar', 'utbk', 'pakai', 'udah', 'coba', 'kali', 'mohon', 'baik']",3,neutral
mudah dan cepat,"['mudah', 'cepat']",5,positive
tidak ada fitur fx mobile tidak bisa lihat kurs dan tukar dollar spt d app bni lama app bni lama sptnya lbh lengkap,"['fitur', 'fx', 'mobile', 'lihat', 'kurs', 'tukar', 'dollar', 'app', 'bni', 'app', 'bni', 'sptnya', 'lbh', 'lengkap']",3,neutral
aplikasi baru bni mobile banking mudah penggunaan qris nya tdk perlu logintinggal scantampilan menarik,"['aplikasi', 'bni', 'mobile', 'banking', 'mudah', 'guna', 'qris', 'logintinggal', 'scantampilan', 'tarik']",5,positive
kenapa saya sudah login tapi diminta login kembali setiap kali buka aplikasi dan berujung sesi anda sudah berakhir,"['login', 'login', 'kali', 'buka', 'aplikasi', 'ujung', 'sesi']",3,neutral
sangat membantu untuk bertransaksi,"['bantu', 'transaksi']",5,positive
mantapp proses cepat semoga konsisten dan semakin d tingkatkan thx,"['mantapp', 'proses', 'cepat', 'moga', 'konsisten', 'tingkat', 'thx']",5,positive
luar biasa sangat membantu,['bantu'],5,positive
jujur sebenernya suka karena lebih simpel cuman plis lah kl ada pembaruan atau apapun itu plis jangan dijam kerja karena kl mau transaksi suka tiba ngga bisa seperti hari ini,"['jujur', 'sebenernya', 'suka', 'simpel', 'cuman', 'plis', 'kl', 'baru', 'apa', 'plis', 'jam', 'kerja', 'kl', 'transaksi', 'suka', 'ngga']",3,neutral
wondr aplikasi gak beres ini saya gimana mau mutasi uang saya buat rekening bni online tanpa fisik kartu jangan buat orang susah dong,"['wondr', 'aplikasi', 'gak', 'beres', 'gimana', 'mutasi', 'uang', 'rekening', 'bni', 'online', 'fisik', 'kartu', 'orang', 'susah']",2,negative
aplikasi sangat simple penggunaannya dan tidak lemot,"['aplikasi', 'simple', 'guna', 'lot']",5,positive
tanpa lelet tks wondr by bni sangat berguna,"['lelet', 'tks', 'wondr', 'by', 'bni', 'guna']",5,positive
aplikasi yg hampis selalu gangguang jika ingin digunakan tiba tiba gx bis qris tiba loading lama padahal inyernet kenceng tiba error sistem endingnya balik ke aplikasi bni yg lama yg paling menjengkelkan kadang mau dipakek tiba tiba registrasi ulangana harus pakek ktp dan wajah wah bikin antrean panjang minimarket ni aplikasi,"['aplikasi', 'hampis', 'gangguang', 'bis', 'qris', 'loading', 'inyernet', 'kenceng', 'error', 'sistem', 'endingnya', 'aplikasi', 'bni', 'jengkel', 'kadang', 'dipakek', 'registrasi', 'ulangana', 'pakek', 'ktp', 'wajah', 'bikin', 'antre', 'minimarket', 'aplikasi']",3,neutral
bagus sekali sangat membantu,"['bagus', 'bantu']",4,positive
kok bni mau pakai aplikasi yg tidak lebih baik dan lengkap dari app sebelum nya diharap lebih baik malah mundurr kecewa balikin pakai app sbelum nya saja kalau tidak bisa lebih baik,"['bni', 'pakai', 'aplikasi', 'lengkap', 'app', 'harap', 'mundurr', 'kecewa', 'balikin', 'pakai', 'app', 'sbelum']",3,neutral
lemot sekali,['lot'],2,negative
sangat memudahkan aktifitas transaksi dan sangat aman,"['mudah', 'aktifitas', 'transaksi', 'aman']",5,positive
lebih baik dri apliksi yg pertama wondr malah gak karuan selalau perbaikan sistem dri pagi sampai malam sekelas bni buat apliksi saja seperti ini,"['dri', 'apliksi', 'wondr', 'gak', 'karuan', 'lalau', 'baik', 'sistem', 'dri', 'pagi', 'malam', 'kelas', 'bni', 'apliksi']",1,negative
keren memudahkan kita bertransaksi dimna aja dan aplikasinya mudah di mengerti,"['keren', 'mudah', 'transaksi', 'dimna', 'aplikasi', 'mudah', 'erti']",5,positive
bagus dan terus di tingkatkan,"['bagus', 'tingkat']",5,positive
lebih inovatif lg yatambah fitur yg lg tren,"['inovatif', 'yatambah', 'fitur', 'tren']",5,positive
lebih praktis dan cepat,"['praktis', 'cepat']",5,positive
bintang dulu soalnya keterangan transaksi belum muncul di history transaksi sedangkan di aplikasi lama muncul klo sudah ada tak ganti bintang yg lain sudah ok,"['bintang', 'terang', 'transaksi', 'muncul', 'history', 'transaksi', 'aplikasi', 'muncul', 'ganti', 'bintang']",3,neutral
cepat pke wondr membantu sekali,"['cepat', 'pke', 'wondr', 'bantu']",5,positive
aplikasi penipu pemerasan saya baruini mendownload kembali aplikasi ini setelah berhasil login muncul rekeningku di bni rekening yang lama sudah lama tidak aktif rekeningku yang saya buat saat mendownload wondr beberapa bulan lalu masih status aktif berulang kali saya mengecek status rekening dari yang satu ke yang satunya sempat juga saya refresh aplikasinya dan mengecek kembali statusnya tetap aktif dan semua berubah menjadi tidak aktif setelah di isi saldo,"['aplikasi', 'tipu', 'peras', 'baruini', 'mendownload', 'aplikasi', 'hasil', 'login', 'muncul', 'rekening', 'bni', 'rekening', 'aktif', 'rekening', 'mendownload', 'wondr', 'status', 'aktif', 'ulang', 'kali', 'ecek', 'status', 'rekening', 'satu', 'refresh', 'aplikasi', 'ecek', 'status', 'aktif', 'ubah', 'aktif', 'isi', 'saldo']",1,negative
nayamul loginnya gak semudah aplikasi sebelumnya,"['nayamul', 'loginnya', 'gak', 'mudah', 'aplikasi']",3,neutral
tampilan baru yg menyegarkan pada awalnya terdapat kendala saat verifikasi wajah saat mata diminta berkedip tp setelah dicoba lain hari cuma diminta gerakan kepala ke atas saat verifikasi wajah langsung sukses alhamdulillah dan masih ada kendala lg mutasi rekening tidak bisa seperti bni mobile misalnya mutasi seperti jasabunga tabungan biaya kartu dan administrasi tidak muncul mohon dibenahi dulu dan menunya belum selengkap bni mobile yg bisa bayar biaya pendidikan terimakasih,"['tampil', 'segar', 'kendala', 'verifikasi', 'wajah', 'mata', 'kedip', 'coba', 'gera', 'kepala', 'verifikasi', 'wajah', 'langsung', 'sukses', 'alhamdulillah', 'kendala', 'mutasi', 'rekening', 'bni', 'mobile', 'mutasi', 'jasabunga', 'tabung', 'biaya', 'kartu', 'administrasi', 'muncul', 'mohon', 'benah', 'menu', 'lengkap', 'bni', 'mobile', 'bayar', 'biaya', 'didik', 'terimakasih']",5,positive
kenapa selalu perbaikan ya mau transfer uang gak bisa masa nomor rekening saya di dalam perbaikan klau aplikasi nya dalam perbaikan wajar tapi ini keluarga saya mau transfer uang kendala nomor rekening saya dalam perbaikan mohon penjelasannya,"['baik', 'transfer', 'uang', 'gak', 'nomor', 'rekening', 'baik', 'klau', 'aplikasi', 'baik', 'wajar', 'keluarga', 'transfer', 'uang', 'kendala', 'nomor', 'rekening', 'baik', 'mohon', 'jelas']",3,neutral
sangat bagus harusnya di update supaya kartu yg tidak aktif tdk perlu lagi ke kantor,"['bagus', 'update', 'kartu', 'aktif', 'kantor']",5,positive
kalau blm siap ga usah launching dulu cm mau token listrik suruh beli di sini dr mbangking stlh dituruti install wondr mau otp aja ga datang datang otpnya krn sdh berkali kali minta kirom ulang suruh besok keburu gelap rumahku alhasil ttp beli di toko pulsa token listriknya,"['blm', 'launching', 'cm', 'token', 'listrik', 'suruh', 'beli', 'mbangking', 'stlh', 'turut', 'install', 'wondr', 'otp', 'otpnya', 'krn', 'sdh', 'kali', 'kali', 'kirom', 'ulang', 'suruh', 'besok', 'keburu', 'gelap', 'rumah', 'alhasil', 'beli', 'toko', 'pulsa', 'token', 'listrik']",1,negative
alhamdulillah ternyata sudh ada fiturnya,"['alhamdulillah', 'sudh', 'fiturnya']",5,positive
katanya super app tapi ga bisa tarik tunai tanpa kartu masih belum bisa gantiin bni mobile,"['super', 'app', 'tarik', 'tunai', 'kartu', 'gantiin', 'bni', 'mobile']",1,negative
aplikasi wondr sangat bermanfaat dan mudah operasionalnya,"['aplikasi', 'wondr', 'manfaat', 'mudah', 'operasional']",5,positive
transaksi mudah dan cepat sangat membantu sekali,"['transaksi', 'mudah', 'cepat', 'bantu']",5,positive
hai aku pengguna baru dan excited banget ternyata ada ya aplikasi banking yang colorful kayak ginisangat menyenangkan gak monoton warnanya berasa nyaman aj dipandang walaupun saldo masih tipis dan yang paling aku suka ada fitur transfer luar negeri trus langsung nonggol negara tujuanmantap apknya gak lelet terimakasih ya semoga uang nyaman direkening ini,"['hai', 'guna', 'excited', 'banget', 'aplikasi', 'banking', 'colorful', 'kayak', 'ginisangat', 'senang', 'gak', 'monoton', 'warna', 'asa', 'nyaman', 'aj', 'pandang', 'saldo', 'tipis', 'suka', 'fitur', 'transfer', 'negeri', 'trus', 'langsung', 'nonggol', 'negara', 'tujuanmantap', 'apknya', 'gak', 'lelet', 'terimakasih', 'moga', 'uang', 'nyaman', 'rekening']",5,positive
ga bisa pake finger print,"['pake', 'finger', 'print']",3,neutral
sering nge lag gimana ini lagi urgent mohon perfomanya di tingkatkan malah lebih bagus aplikaai yang bni mobile banking yang sebelumnya,"['nge', 'lag', 'gimana', 'urgent', 'mohon', 'perfomanya', 'tingkat', 'bagus', 'aplikaai', 'bni', 'mobile', 'banking']",3,neutral
deskripsi transaksi minim,"['deskripsi', 'transaksi', 'minim']",3,neutral
interface lbh mudah dan cepat namun fitur transaksi tarik dan setor atm tdk dipasang sprti saat di mobile banking,"['interface', 'lbh', 'mudah', 'cepat', 'fitur', 'transaksi', 'tarik', 'setor', 'atm', 'pasang', 'sprti', 'mobile', 'banking']",3,neutral
maintenance diwaktu yang kurang tepat disaat ingin digunakan,"['maintenance', 'waktu', 'saat']",3,neutral
aplikasi terbaru ini menurut aku bagus fiturnya banyak yang terbaru dan sangat gampang di aplikasi,"['aplikasi', 'baru', 'bagus', 'fiturnya', 'baru', 'gampang', 'aplikasi']",5,positive
lebih cepat lebih mudah,"['cepat', 'mudah']",5,positive
sangat simple dan mudah ketika transaksi menggunakan qris tidak perlu login dan cepat,"['simple', 'mudah', 'transaksi', 'qris', 'login', 'cepat']",5,positive
bikin aplikasi baru tapi gak lengkap tarik tunai tanpa kartu kok gak ada mau pakek bni mobile sudah gak bisa di akses juga tarik tunai tanpa kartu,"['bikin', 'aplikasi', 'gak', 'lengkap', 'tarik', 'tunai', 'kartu', 'gak', 'pakek', 'bni', 'mobile', 'gak', 'akses', 'tarik', 'tunai', 'kartu']",3,neutral
seharusnya lebih mudah yatapi karena harus update data pribadi jadi harus ke kantor bni sayang sekaliaku kira tu semudah daftar bank online gitu ternyata enggak,"['mudah', 'yatapi', 'update', 'data', 'pribadi', 'kantor', 'bni', 'sayang', 'sekaliaku', 'tu', 'mudah', 'daftar', 'bank', 'online', 'gitu']",3,neutral
saya sudah dapat kode otpsudah masukan data ktp sudah masukan no debit tapi dapat keterangankamu belum memenuhi kriteria untuk bisa pakai wondrmohon solusinya mksh,"['kode', 'otpsudah', 'masuk', 'data', 'ktp', 'masuk', 'no', 'debit', 'keterangankamu', 'penuh', 'kriteria', 'pakai', 'wondrmohon', 'solusi', 'mksh']",3,neutral
tolongg dong untuk mutasi nya dbuat seperi bni mobile bangking jd jelas hitungan saldo nya terlihat ini mau cek mutasu harus pilih dlu blum lg biaya trf beda bank kadang tidak ada kalau kita ceklis semua,"['tolongg', 'mutasi', 'dbuat', 'per', 'bni', 'mobile', 'bangking', 'hitung', 'saldo', 'cek', 'mutasu', 'pilih', 'dlu', 'blum', 'biaya', 'trf', 'beda', 'bank', 'kadang', 'ceklis']",3,neutral
ngerih mau teransaksi ato transfer gede takut gagal lagi biasanya kalo di aplikasi lain transfer gagal ato trasaksi gagal saldo nya tidak ke ambil tapi inimah saldo ngurangin ato ke ambil isi pula smartfreen juga ngga masuk tapi saldonya sudah ke ambil,"['ngerih', 'teransaksi', 'ato', 'transfer', 'gede', 'takut', 'gagal', 'kalo', 'aplikasi', 'transfer', 'gagal', 'ato', 'trasaksi', 'gagal', 'saldo', 'ambil', 'inimah', 'saldo', 'ngurangin', 'ato', 'ambil', 'isi', 'smartfreen', 'ngga', 'masuk', 'saldo', 'ambil']",4,positive
transaksi belum berhasil tapi saldo terpotong transfer dari jam ditungguin sampe jam siang masih belum masuk saldonya ini gimna ya pihak wondr tolong bantu,"['transaksi', 'hasil', 'saldo', 'potong', 'transfer', 'jam', 'ditungguin', 'sampe', 'jam', 'siang', 'masuk', 'saldo', 'gimna', 'wondr', 'tolong', 'bantu']",2,negative
d hp sy sudah terinstal hanya saja tidak bisa untuk d pergunakan apknya d info terakhir setelah memsukkan data diri dll bagian terakhir harus k e bni cabang terdekat untuk update data diri sperti itu mohon solusinya,"['hp', 'terinstal', 'guna', 'apknya', 'info', 'memsukkan', 'data', 'dll', 'e', 'bni', 'cabang', 'dekat', 'update', 'data', 'sperti', 'mohon', 'solusi']",2,negative
tolong ditingkatkan lagi untuk pelayan pembayaran air di bni mobile banking ada layanan server ke pdam kab madiun tapi kenapa di wondr tidak tersedia ya dibantu juga seperti save recent payment jadi biar tidak input berulang ulang untuk token listrik dan pembayaran air terimakasih,"['tolong', 'tingkat', 'layan', 'bayar', 'air', 'bni', 'mobile', 'banking', 'layan', 'server', 'pdam', 'kab', 'madiun', 'wondr', 'sedia', 'bantu', 'save', 'recent', 'payment', 'biar', 'input', 'ulang', 'ulang', 'token', 'listrik', 'bayar', 'air', 'terimakasih']",3,neutral
parah saya melakukan transanski pembelian pulsa listri lalu transaksi nya gagal dan parah nya saldo saya berkurang dan sudah hari belum kembali mau hubungi call center habisin pulsa banyak mengecewakan,"['parah', 'transanski', 'beli', 'pulsa', 'listri', 'transaksi', 'gagal', 'parah', 'saldo', 'kurang', 'hubung', 'call', 'center', 'habisin', 'pulsa', 'kecewa']",1,negative
ok bangetcepat sekali setiap proses transaksi,"['bangetcepat', 'proses', 'transaksi']",5,positive
lebih cepat mudah dan aman,"['cepat', 'mudah', 'aman']",4,positive
masih belum bisa tarik tunai tanpa kartu masih belum bisa menggantikan aplikasi mbanking bni terpaksa aja karena sudah nggk bisa buka mbanking nya,"['tarik', 'tunai', 'kartu', 'ganti', 'aplikasi', 'mbanking', 'bni', 'paksa', 'nggk', 'buka', 'mbanking']",3,neutral
kok aplikasi aq wonder na g bisa di buka klo pake wifi baru bisa di buka sangat menyulitkan sekali,"['aplikasi', 'aq', 'wonder', 'na', 'buka', 'pake', 'wifi', 'buka', 'sulit']",3,neutral
terimakasih wondr apk yg terbaru cukup jelas rincian y banyak promo y juga tetap yg terbaik deh pokok y tetap jaya trs utk bank bni,"['terimakasih', 'wondr', 'apk', 'baru', 'rincian', 'y', 'promo', 'y', 'baik', 'pokok', 'y', 'jaya', 'trs', 'bank', 'bni']",5,positive
